
Designator,Quantity,Component Name,Footprint,Sourcing Link


U1,1,XIAO ESP32-C3,foot:XIAO-ESP32-C3-DIP,https://www.seeedstudio.com/Seeed-XIAO-ESP32C3-p-5431.html?srsltid=AU7gw4VDwjUAIm7gTielzF3R162CpobM-U2K9dWKoW9xlxCvq-3HqC8obDw
SW1\,SW2\,SW3\,SW4,4,Cherry MX Compatible Key Switch,switch:SW_Cherry_MX_1.00u_PCB,https://panda-mousepads.com/products/cherry-mx-mechanical-keyboard-switches-3-pin?variant=40930875670691&country=US&currency=USD&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic&srsltid=AU7gw4UjE_LDTER6We5ZA6FkqacR6w-Ml-_MZT-fGag7CERpbxS0HlY9h4A
J1,1,8-Pin 2.54mm Female Header Socket,connector:PinSocket_1x08_P2.54mm_Vertical,https://www.aliexpress.us/item/3256807486796996.html?spm=a2g0o.productlist.main.3.5654RBBuRBBuQy&algo_pvid=d6e48885-06fc-4b73-9e46-34dd52416a54&algo_exp_id=d6e48885-06fc-4b73-9e46-34dd52416a54-2&pdp_ext_f=%7B%22order%22%3A%22895%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%212.60%211.09%21%21%212.60%211.09%21%402101ef5e17900453187957766e0eda%2112000041751476406%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A982aa020%3Bm03_new_user%3A-29895%3BpisId%3A5000000210788688&curPageLogUid=JY7H0YBLu0v3&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005007673111748%7C_p_origin_prod%3A
BZ1,1,5V Passive Buzzer (12mm),buzzer:Buzzer_12x9.5RM7.6,https://www.aliexpress.us/item/3256812304653037.html?spm=a2g0o.productlist.main.2.7167bTGybTGyND&algo_pvid=3d12822e-bb3b-4dd3-806f-8355b4d0be10&algo_exp_id=3d12822e-bb3b-4dd3-806f-8355b4d0be10-1&pdp_ext_f=%7B%22order%22%3A%2214%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%214.26%211.09%21%21%2128.33%217.20%21%402103094f17900453807931080e130e%2112000058544450596%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A982aa020%3Bm03_new_user%3A-29895%3BpisId%3A5000000210788678&curPageLogUid=0Z9NItkvW6ou&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005012490967789%7C_p_origin_prod%3A
J1,1,1.3 Inch Rectangular TFT LCD Module,connector:PinSocket_1x08_P2.54mm_Vertical,https://www.aliexpress.us/item/3256809161612031.html?spm=a2g0o.productlist.main.2.7c30OCHbOCHbqt&algo_pvid=e0094769-9c7d-42a3-a7c9-ebd94f11fb5c&algo_exp_id=e0094769-9c7d-42a3-a7c9-ebd94f11fb5c-1&pdp_ext_f=%7B%22order%22%3A%221138%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%2171.88%2127.94%21%21%21478.56%21186.02%21%402101d9ef17900458449312800e0edc%2112000048828156242%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A982aa020%3Bm03_new_user%3A-29895%3BpisId%3A5000000210788678&curPageLogUid=rcA0dcdMAjqR&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005009347926783%7C_p_origin_prod%3A
Hardware,4,M3 Brass Heat-Set Inserts & Screws,4.7mm CAD Hole,https://www.aliexpress.us/item/2255800046543591.html
Screws (Short),4,M3 x 8mm Button Head Machine Screws,M3 Clearance Hole,https://www.aliexpress.us/item/3256806191432536.html?spm=a2g0o.productlist.main.20.8e105e55iEFuXx&utparam-url=scene%3Asearch%7Cquery_from%3Apc_back_same_best%7Cx_object_id%3A1005006377747288%7C_p_origin_prod%3A&algo_pvid=7987ab63-8d65-465a-ab5c-b03ca118e8df&algo_exp_id=7987ab63-8d65-465a-ab5c-b03ca118e8df&pdp_ext_f=%7B%22order%22%3A%222140%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%210.76%210.53%21%21%215.03%213.52%21%402103094f17900462549591222e1350%2112000036956444828%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A73118c74%3Bm03_new_user%3A-29895&gatewayAdapt=4itemAdapt
Screws (Long),4,M3 x 16mm Button Head Machine Screws,M3 Clearance Hole,https://www.aliexpress.us/item/2251832772825104.html?spm=a2g0o.productlist.main.2.7e535d68fF4aoG&algo_pvid=b0ebe1dd-e0fd-461d-bdbb-e06f6866e78d&algo_exp_id=b0ebe1dd-e0fd-461d-bdbb-e06f6866e78d-1&pdp_ext_f=%7B%22order%22%3A%22308%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%212.85%211.09%21%21%2118.96%217.24%21%402101dedf17900463106434580e10ea%2166368903762%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A982aa020%3Bm03_new_user%3A-29895%3BpisId%3A5000000210788688&curPageLogUid=jL92MpLTxxYn&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A32959139856%7C_p_origin_prod%3A
Case,1,Custom 3D Printed Enclosure,/CAD/catclockCAD.step,N/A (Self-Designed)
